transformation,closest_reaction,delta_mz_observed,delta_mz_error,metabolite_from,mz_from,rt_from,metabolite_to,mz_to,rt_to,method
hydrocinnamic_acid--->indole-3-propionate,Phe → Trp,39.01089999999999,9.629699917468315e-07,hydrocinnamic_acid,149.0608,3.6,indole-3-propionate,188.0717,4.45,HILIC-neg
hydrocinnamic_acid--->pentose_monophosphate,Sulfation,79.9511,0.005714858679993995,hydrocinnamic_acid,149.0608,3.6,pentose_monophosphate,229.0119,7.25,HILIC-neg
alpha-hydroxybutyrate/beta-hydroxybutyrate--->gentisate,Glycine → Taurine,49.97919999999999,0.0034356840200047145,alpha-hydroxybutyrate/beta-hydroxybutyrate,103.0401,3.6,gentisate,153.0193,4.6,HILIC-neg
gentisate--->DHAP/glyceraldehyde_3P,OH → SH,15.971400000000017,0.0057563804399833884,gentisate,153.0193,4.6,DHAP/glyceraldehyde_3P,168.9907,8.65,HILIC-neg
gentisate--->homovanillate,Ethylation,28.031300000000016,1.2891998579789288e-07,gentisate,153.0193,4.6,homovanillate,181.0506,4.4,HILIC-neg
2-hydroxy-3-methylpentanoic_acid--->3-methyladipate/pimelate,Formylation,27.9949,1.4619559998152454e-05,2-hydroxy-3-methylpentanoic_acid,131.0714,3.4,3-methyladipate/pimelate,159.0663,6.75,HILIC-neg
adipate--->3-methyladipate/pimelate,Methylation,14.01570000000001,4.993554000876088e-05,adipate,145.0506,6.8,3-methyladipate/pimelate,159.0663,6.75,HILIC-neg
3-methyladipate/pimelate--->suberate,Methylation,14.015599999999978,5.0064460022980484e-05,3-methyladipate/pimelate,159.0663,6.75,suberate,173.0819,6.75,HILIC-neg
3-methyladipate/pimelate--->azelaic_acid,Ethylation,28.031299999999987,1.289200142196023e-07,3-methyladipate/pimelate,159.0663,6.75,azelaic_acid,187.0976,6.95,HILIC-neg
alpha-hydroxybutyrate/beta-hydroxybutyrate--->2-aminoadipate,Glycine conjugation,57.0214,6.372104999741168e-05,alpha-hydroxybutyrate/beta-hydroxybutyrate,103.0401,3.6,2-aminoadipate,160.0615,5.25,HILIC-neg
glutamate_HILIC-neg--->2-aminoadipate,Methylation,14.015600000000006,5.0064459994558774e-05,glutamate_HILIC-neg,146.0459,5.2,2-aminoadipate,160.0615,5.25,HILIC-neg
2-aminoadipate--->inosine_HILIC-neg,Taurine conjugation,107.01200000000003,0.007900594930021043,2-aminoadipate,160.0615,5.25,inosine_HILIC-neg,267.0735,3.35,HILIC-neg
erythronic_acid--->fucose,Ethylation,28.031300000000016,1.2891998579789288e-07,erythronic_acid,135.0299,4.4,fucose,163.0612,1.4,HILIC-neg
hypoxanthine_HILIC-neg--->fucose,Ethylation,28.03,0.0013001289200005317,hypoxanthine_HILIC-neg,135.0312,3.4,fucose,163.0612,1.4,HILIC-neg
adipate--->fucose,Hydration,18.01060000000001,3.531598001060843e-05,adipate,145.0506,6.8,fucose,163.0612,1.4,HILIC-neg
fucose--->fructose/glucose/galactose,Hydroxylation,15.994899999999973,1.4619560026574163e-05,fucose,163.0612,1.4,fructose/glucose/galactose,179.0561,1.85,HILIC-neg
fucose--->inositol,Hydroxylation,15.994899999999973,1.4619560026574163e-05,fucose,163.0612,1.4,inositol,179.0561,2.7,HILIC-neg
fucose--->sorbitol,Hydration,18.010599999999982,3.531597998218672e-05,fucose,163.0612,1.4,sorbitol,181.0718,2,HILIC-neg
fucose--->quinic_acid,Formylation,27.994899999999973,1.4619560026574163e-05,fucose,163.0612,1.4,quinic_acid,191.0561,4.3,HILIC-neg
2-hydroxyglutarate--->3-methylxanthine,Hydration,18.011899999999997,0.0013353159799969205,2-hydroxyglutarate,147.0299,7,3-methylxanthine,165.0418,3.15,HILIC-neg
hydrocinnamic_acid--->3-methylxanthine,OH → SH,15.980999999999995,0.003843619559994238,hydrocinnamic_acid,149.0608,3.6,3-methylxanthine,165.0418,3.15,HILIC-neg
3-methylxanthine--->fructose/glucose/galactose,Methylation,14.014299999999992,0.0013500644600092926,3-methylxanthine,165.0418,3.15,fructose/glucose/galactose,179.0561,1.85,HILIC-neg
3-methylxanthine--->inositol,Methylation,14.014299999999992,0.0013500644600092926,3-methylxanthine,165.0418,3.15,inositol,179.0561,2.7,HILIC-neg
3-methylxanthine--->glucuronate,Formylation,27.993600000000015,0.0013146195599844646,3-methylxanthine,165.0418,3.15,glucuronate,193.0354,5,HILIC-neg
hydrocinnamic_acid--->phenyllactic_acid,Hydroxylation,15.994900000000001,1.4619559998152454e-05,hydrocinnamic_acid,149.0608,3.6,phenyllactic_acid,165.0557,3.55,HILIC-neg
phenyllactic_acid--->homovanillate,Hydroxylation,15.994900000000001,1.4619559998152454e-05,phenyllactic_acid,165.0557,3.55,homovanillate,181.0506,4.4,HILIC-neg
phenyllactic_acid--->indole-3-propionate,Tyr → Trp,23.01599999999999,1.5582529989899285e-05,phenyllactic_acid,165.0557,3.55,indole-3-propionate,188.0717,4.45,HILIC-neg
phenyllactic_acid--->indolelactate,Phe → Trp,39.01089999999999,9.629699917468315e-07,phenyllactic_acid,165.0557,3.55,indolelactate,204.0666,4.4,HILIC-neg
